Run,Event,pt1,eta1,phi1,Q1,pt2,eta2,phi2,Q2,M
173198,1057546757,81.9912,-0.0303307,-1.15319,-1,32.0461,-0.432893,0.882336,1,89.6759
173198,1058088141,14.8343,0.082533,0.22034,-1,54.1587,2.24089,-1.45339,1,84.929
173198,1058660839,36.9781,0.615584,1.67639,1,17.2932,-1.16501,-1.62857,-1,71.8604
173198,1057459307,72.6206,0.646131,2.35637,1,23.0758,-0.155553,-0.422781,-1,87.3003
173198,1057611003,22.2053,2.40373,2.82071,1,34.8445,0.398065,-1.42642,-1,80.92
173198,1057959539,35.145,0.949851,0.0115307,1,23.2467,1.70564,3.07522,-1,61.2568
173198,1057472794,29.5217,-1.59583,0.735539,-1,53.7939,-0.459463,-2.92374,1,90.6495
173198,1058543948,2.60875,2.39651,2.33541,-1,141.611,-0.452406,-1.37584,1,83.8049
173198,1058732532,23.0483,-1.22134,2.1672,-1,19.0525,1.71125,-0.82246,1,95.5858
173198,1058902116,42.4839,-1.70632,-0.752158,-1,44.546,-1.05961,2.39078,1,91.594
173198,1057381645,42.5578,0.66138,1.1871,1,47.6696,0.598069,-1.91237,-1,90.1076
173198,1057446015,39.8471,0.797298,1.6813,-1,49.4296,1.02581,-1.46573,1,89.3406
173198,1057967519,23.0768,-0.50742,-0.819593,1,37.3529,-2.17786,0.842363,-1,70.001
173198,1058004575,2.60346,2.34156,-2.37505,-1,34.1016,-1.86834,2.93256,1,76.6888
173198,1058381673,22.4216,-0.830758,-0.368289,-1,93.7629,-1.56371,-2.89674,1,93.9374
173198,1058621747,17.9571,1.3786,1.85547,-1,18.8842,-1.29806,-1.19158,1,75.0194
173198,1057391867,16.9328,-0.706117,-2.8823,-1,27.5589,2.39888,0.248485,1,106.605
173198,1058193938,37.3559,-0.933293,2.69239,1,73.0935,-0.225546,-0.412543,-1,111.103
173198,1058488901,55.4834,1.01619,1.70367,1,78.6163,0.312125,2.92212,-1,89.2535
173198,1057669593,45.0179,1.16224,3.10531,-1,44.2205,1.06287,0.0317818,1,89.2935
173198,1058319723,47.194,-2.03053,2.11895,1,41.5784,-2.11254,-1.09233,-1,88.6154
